Id,Sentiment,Acara TV,Jumlah Retweet,Text Tweet
1,positive,HitamPutihTransTV,12,"Undang @N_ShaniJKT48 ke hitamputih, pemenang SSK JKT48 harusnya mJKT48 ini lebih Layak di Undang karena prestasinya"
2,positive,HitamPutihTransTV,6,Selamat berbuka puasa Semoga amal ibadah hari ni diterima Allah #hitamputih
3,positive,HitamPutihTransTV,9,"Ada nih di trans7 hitam putih, dia dpt penghargaan juga di norwegia #hitamputih"
4,positive,HitamPutihTransTV,2,selamat ya mas @adietaufan masuk hitamputih
5,positive,HitamPutihTransTV,1,Asiknya nonton Hitam Putih Trans7
6,positive,HitamPutihTransTV,2,@TRANS7 acara paling komplit dan menarik apalagi ada hitam putih
7,positive,HitamPutihTransTV,1,hitam putih T7 inspiratif banget
8,positive,HitamPutihTransTV,3,Suka banget dengan acara hitam putih
9,positive,HitamPutihTransTV,0,Keren lu bro #HitamPutihTrans7
10,positive,HitamPutihTransTV,15,"Tadi ada yg liat hitam putih di trans7 ga, Ada sanggu ganteng"
11,negative,HitamPutihTransTV,0,"Hitam putih bego, haruka diundang bentar biar pd liat younglex, udah gt malah dihina, Bego"
12,negative,HitamPutihTransTV,10,"Miris liat pemerintah, Juara angkat berat se-asia tp tdk ada biaya mengikuti kejurnas.. #miris #hitamputihtrans7 "
13,negative,HitamPutihTransTV,5,"Juara 1 angkat berat Se-Asia, tdk menerima hadiahnya dan tidak bisa ikut kejurnas karena terkendala biaya #hitamputihtrans7"
14,negative,HitamPutihTransTV,6,"haruka lain kali kalau diundang ke hitam putih ditolak aja, hostnya ga menghargai kamu"
15,negative,HitamPutihTransTV,0,Berasa aneh nonton acara Hitam Putih tapi penonton nya anak yg sekolah di sekolah gua #smkjakarta1
16,negative,HitamPutihTransTV,0,"sedih dengar curhatanmu, Roxana. Semoga Tuhan tunjukkan jalan dan titik terang utk Roxana #hitamputih #pegulat"
17,negative,HitamPutihTransTV,5,Miris ketika anak Indonesia kesulitan menggunakan Bahasa Indonesa dan lebih nyaman menggunakan bahasa asing #HitamPutihTrans7 #AkuIndonesia
18,negative,HitamPutihTransTV,0,"Sombongnya mentang2 kaya pake diumumkan, saya host kaya di Hitam Putih Trans7...!!!"
19,negative,HitamPutihTransTV,2,parah banget hitam putih di Trans7. Ngomong sembarang. Yg merusak generasi muda acara kyk gini
20,negative,HitamPutihTransTV,0,Orang bangkrut itu bukan perkara soal uang tetapi bangkrut itu orang yang sudah tidak punya mimpi -BangQomar #HitamPutihT7
